Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
MubasherTrade,https://www.crunchbase.com/organization/mubashertrade,"Manama, Al Manamah, Bahrain",MubasherTrade is a Financial Services company that provides brokerage services & trading services and many other services.,"376,570",,+973 1755 6139,,https://www.linkedin.com/company/mubashertrade/,https://www.facebook.com/MubasherGlobal/,https://twitter.com/MubasherTGlobal,https://global.mubashertrade.com/,For Profit,,51-100,Gulf Cooperation Council (GCC),"Financial Services, Mobile Apps, Trading Platform",,,,"62,418","386,815","Apps, Financial Services, Lending and Investments, Mobile, Software",$1M to $10M,0.19%,61,,,2005-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24%,10.93,,,,,,,
Equilibria Digital Solutions,https://www.crunchbase.com/organization/equilibria-digital-solutions,"Salmabad, Al Mintaqah al Wusta, Bahrain",Equilibria Digital Solutions offers Corporate Training & Learning & Development Solutions,"387,194",mb@lumofy.com,+973 1722 3389,"EQDS helps you to create and sustain lasting value in your Organizational Human Capital. We help organizations to diagnose their challenges and goals, and develop tailored learning experiences equipping them with the needed skills and capabilities to drive sustainable growth. We provide and customize learning experiences to bring our clients the recent, highest quality interactive formats, accessible to  employees when they are ready to learn. EQDS is revolutionizing how professional learning and development is handled in medium-sized businesses to large corporations and Governments – unlocking the potential of every employee growth and achievement through creating learning opportunities and closing the skill gap.",https://www.linkedin.com/company/13203408,https://web.facebook.com/EquilibriaDigital/,https://twitter.com/equilibriads,http://equilibria.com.bh/,For Profit,"Ahmed Faraj, Mohamed Bastaki",11-50,Gulf Cooperation Council (GCC),"B2B, Corporate Training, EdTech, Education, Software",,,,,,"Education, Other, Software",,,3,,2,2018-10-03,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Control Technologies,https://www.crunchbase.com/organization/time-control-technologies,"Manama, Al Manamah, Bahrain","B2B, SaaS, software application for monitoring in real time employees working at projects, providing Project Management support","391,677",info@timectech.com,+97339690557,"Our objective is enabling more efficient and effective functions for corporate clients in their HR & Accounting departments. In essence we want to avoid long tedious approvals,creating a system in which Timesheet/Productivity control will be calculatedautomatically, allowing project managers to take action on time.  No supervisors, No approvals and No messy paperwork. We came up with the idea when working on very repetitive and tiring operational works every month. We decided there should be a way to automate and introduce the Internet of things to our processes. Utilizing our system, users will be able to save time in useless paperwork and bureaucracy, minimize change orders from contractors due to personnel mismanagement, not detecting in time the low levels of productivity and not knowing the exact location of your resources which can be a matter of life or death in case of an accident. ",https://www.linkedin.com/in/time-control-technologies/,,,https://www.timectech.com,For Profit,"Jesus Alvarado, Jhony Leyva",1-10,Gulf Cooperation Council (GCC),"Human Resources, Industrial Automation, Internet of Things, Real Time, SaaS, Software",,,,176,"7,154,088","Administrative Services, Internet Services, Manufacturing, Other, Science and Engineering, Software",,,39,,2,2018-01-01,year,Active,,,,,,Seed,1,2018-04-01,,,,,,,Seed,,,,Seed,,,,Brinc,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Clever Play,https://www.crunchbase.com/organization/clever-play,"Buri, Al Manamah, Bahrain",Clever Play is an e-learning platform.,"392,903",info@cleverplay.org,973 32218929,,,https://www.facebook.com/CleverPlayBH/,https://twitter.com/CleverPlay_BH,https://cleverplay.org/,For Profit,,,Gulf Cooperation Council (GCC),"E-Learning, Education",,,,,,"Education, Software",,,59,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab Shipbuilding and Repair Yard Company,https://www.crunchbase.com/organization/arab-shipbuilding-and-repair-yard-company,"Hidd, Al Hadd, Bahrain",ASRY is the Arabian Gulf’s most experienced marine repair and fabrication facility.,"397,028",info@asry.net,973 1767 1111,,https://www.linkedin.com/company/asry/,https://www.facebook.com/arabshipbuildingandrepairyard/,,https://www.asry.net/,,,251-500,Gulf Cooperation Council (GCC),Construction,,,,,,Real Estate,$50M to $100M,,,,,1977-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Securities & Investment Company,https://www.crunchbase.com/organization/securities-investment-company,"Manama, Al Manamah, Bahrain",Securities and Investment company is a wholesale bank that offers a wide range of investment services.,"402,421",info@sicobahrain.com,973 1751 5000,"Headquartered in the Kingdom of Bahrain, and with a growing regional presence and international footprint, Securities & Investment Company (SICO) is one of the premier investment banks in the GCC region. The Bank provides a select range of specialist solutions – brokerage, market making, treasury, asset management, corporate finance, and custody and fund administration – which are underpinned by an independent, value-added research capability.",,,https://www.twitter.com/sicobahrain,http://www.sicobahrain.com,For Profit,,51-100,Gulf Cooperation Council (GCC),"Finance, Financial Services",,,,,,Financial Services,,,31,,,1995-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain Islamic Bank,https://www.crunchbase.com/organization/bahrain-islamic-bank,"Manama, Al Manamah, Bahrain",Bahrain Islamic Bank provides banking products and solutions.,"409,819",,973-17-51-51-51,,https://www.linkedin.com/company/bahrain-islamic-bank-bisb/,https://www.facebook.com/BahrainIslamicBank,https://twitter.com/_BisB,https://bisb.com/,For Profit,,251-500,Gulf Cooperation Council (GCC),"Banking, Finance, Financial Services",,3,,"13,033","1,098,630","Financial Services, Lending and Investments",,-79.07%,32,,,1979-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.24%,2,,,,,,,
Albayan Media Group,https://www.crunchbase.com/organization/albayan-media-group,"Manama, Al Manamah, Bahrain",One Stop Media Hub | Bahrain and Saudi Arabia,"414,846",md@amg.bh,+973 17877 991,"Albayan Media Group (AMG) is a full service media group providing integrated and strategic solutions to clients from diverse industries in Bahrain, Saudi Arabia, Kuwait, Oman and across the region, since its inception in 1993. Constantly striving to maximize client budgets, AMG provides highly competitive rates and prompt delivery of effective media solutions.",https://www.linkedin.com/company/albayanmediabh,https://www.facebook.com/albayanmediabh,https://www.twitter.com/albayanmediabh,https://amg.bh,For Profit,A.Hamid Alasfoor,51-100,Gulf Cooperation Council (GCC),"Advertising, Consulting, Information Technology, Internet",,,,,,"Advertising, Information Technology, Internet Services, Professional Services, Sales and Marketing",,,21,,1,1993-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain Financing Company,https://www.crunchbase.com/organization/bahrain-financing-company,"Manama, Al Manamah, Bahrain",Bahrain Financing Company offers money transfer and currency exchange services.,"422,156",customerservice@bfc.com.bh,+973 1722 8888,Bahrain Financing Company offers money transfer and currency exchange services.,https://www.linkedin.com/company/bahrain-financing-company,https://www.facebook.com/BFCBahrain,https://twitter.com/bfcbahrain,https://www.bfc.com.bh,For Profit,,251-500,Gulf Cooperation Council (GCC),"Financial Exchanges, Financial Services, Virtual Currency",,,,,,"Financial Services, Lending and Investments, Payments, Software",$10M to $50M,,,,,1971-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,
CoinMENA,https://www.crunchbase.com/organization/coinmena,"Manama, Al Manamah, Bahrain","CoinMENA is a Sharia-compliant crypto-assets trading platform that buys, sells, stores, and receives digital asset's safety and security.","424,602",,,,https://www.linkedin.com/company/coinmena,https://www.facebook.com/CoinMENA.Bahrain,https://twitter.com/CoinMENA,https://www.coinmena.com,For Profit,,11-50,Gulf Cooperation Council (GCC),"Asset Management, Finance, Financial Services",,,,,,Financial Services,,,,,,2019-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkSmart,https://www.crunchbase.com/organization/thinksmart-e91e,"Manama, Al Manamah, Bahrain",Thinksmart is an ICT training service provider that concentrates on the training needs of the corporate world.,"428,182",info@thinksmartbh.com,+973 17746746,"Thinksmart is Bahrain's leading ICT training service provider. It is an enterprise concentrating on the training needs of the corporate world, backed by a team of professionals who have successfully trained and placed students. The company offers a wide spectrum of courses designed to suit every skill level, as well as the ability to consult directly with organizations to tailor made learning plans for any number of employees.",https://www.linkedin.com/company/thinksmart/,https://www.facebook.com/ThinkSmart.Bahrain/,https://twitter.com/ThinkSmart_BH,http://thinksmart.bh/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Blockchain, Cloud Computing, Information and Communications Technology (ICT), Information Technology, Project Management, Training",,1,,,,"Administrative Services, Education, Information Technology, Internet Services, Other, Software",,,25,,,2002-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiyo Technologies Pvt Ltd,https://www.crunchbase.com/organization/infiyo,"Manama, Al Manamah, Bahrain","Infiyo is a global leader in IT Services, Business Application Development & Maintenance, Business Intelligence & Enterprise Solutions","432,106",hello@infiyo.com,+919400200036,"Infiyo Technologies Private Limited is a global leader in IT Services, Business Application Development & Maintenance, Business Intelligence, Enterprise Solutions, Assurance Services, Engineering & Industrial Services. Infiyo has happy clients from all over the world and company delivered high-quality software and it solution to their clients on time.",https://www.linkedin.com/company/infiyo,https://www.facebook.com/infiyo,https://www.twitter.com/infiyotech,https://www.infiyo.com,For Profit,"Hashif P, Naseem Fasal",11-50,Gulf Cooperation Council (GCC),"Business Intelligence, Consulting, Information Technology, IT Management",,,,,,"Data and Analytics, Information Technology, Professional Services",,,27,,2,2012-11-01,day,Active,,,,,,M&A,,,,,,,,,,,,,,,,,,,,,Was Acquired,Infiyo Technologies Pvt Ltd acquired by Envose,https://www.crunchbase.com/acquisition/envose-acquires-infiyo--5e3953d8,Envose,https://www.crunchbase.com/organization/envose,,,,Acquisition,,,,,,,,,,,,,,,
Telecommunications Regulatory Authority,https://www.crunchbase.com/organization/telecommunications-regulatory-authority,"Manama, Al Manamah, Bahrain",A communications environment that enriches the social and commercial fabric of the Kingdom of Bahrain.,"432,292",contact@tra.org.bh,+973 1752 0000,"To develop a competition led market for the provision of innovative communications services, available to all, which: encourages sustainable, economically efficient investment; respects the interests of consumers; fosters ecologically friendly initiatives; and supports the social and commercial welfare of the Kingdom of Bahrain. To continue to build as an exemplar regulator within the region through thought leadership and to be the employer of choice by: investing in our people to develop a professional, passionate team; transparency and fairness in operations; and adherence to quality assurance.",,,https://twitter.com/TRABahrain,http://www.tra.org.bh/en,For Profit,,11-50,Gulf Cooperation Council (GCC),Telecommunications,,17,,273,"6,111,035",Hardware,$1M to $10M,-25.82%,26,,,2002-01-10,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36%,1,,,,,,,
AleeFlow,https://www.crunchbase.com/organization/aleeflow,"Manama, Al Manamah, Bahrain",Workflow automation and management platform,"433,139",info@aleeflow.com,0777772520,"One workflow management platform to optimize, moderate, and monitor all of your work is just few seconds away.",https://jo.linkedin.com/company/aleeflow,,,https://www.aleeflow.com,For Profit,"Ali AlNoaimi, Rashed Haddadin",1-10,Gulf Cooperation Council (GCC),"Business Information Systems, Cloud Computing, PaaS, Small and Medium Businesses",,,,,,"Information Technology, Internet Services, Other, Software",,,34,,2,2020-06-01,month,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eazy Financial Services,https://www.crunchbase.com/organization/eazy-financial-services,"Manama, Al Manamah, Bahrain",Eazy Financial Services provides biometric technologies to banking and financial services industries.,"439,098",,+973 17565555,"Eazy Financial Services B.S.C offers Biometric technologies & innovative solutions to the banking and financial services industries by bringing a new era of secured and convenient transaction experience.  Through their state of the art Biometric platform, they empower clients with a unique transaction experience by enabling biometric transactions for cash withdrawals, in-store payments, in-branch customer experience, identification services, merchant loyalty programs, and others.",,https://www.facebook.com/pages/Eazy-Financial-Services/568053410046678,,http://www.eazy.bh/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Biometrics, Financial Services",,2,,,,"Biotechnology, Data and Analytics, Financial Services, Science and Engineering",$1M to $10M,,7,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Turkey Talent,https://www.crunchbase.com/organization/turlkey-talent,"Manama, Al Manamah, Bahrain",Turkeytalent.com is an english language job listings portal in the Turkey,"446,239",sales@turkeytalent.com,15105952002,"TurkeyTalent.com is the top English language job portal in Turkey. It offers an innovative platform for linking employers with top talent from all over Turkey. The website offers a new range of options which any job seeker can use to find fantastic opportunities in cities like Ankara, Istanbul, Izmir and so on. It also offers employers with a new platform for recruiting top talent. TurkeyTalent.com offers a unique approach to job searching that is sure offer the highest benefit to any potential job seeker. First of all, it has rich listing of prospective jobs. The jobs are listed either by industry or by function. This makes it very simple for the job seeker to identify the right job opportunities in the shortest time possible.  However, what makes TurkeyTalent.com truly stand out is the support that is available to the job seeker. There is professional support that is availed to job seekers through online portals to enable them make the most of the opportunities available.  TurkeyTalent.com employs experienced career guidance counselors and human resource advisors to give job seekers tips on how to market themselves to prospective employers.",http://tr.linkedin.com/in/turkeytalent,http://www.facebook.com/pages/TurkeyTalent,http://twitter.com/turkeytalent,http://www.turkeytalent.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"College Recruiting, Recruiting, Social Recruiting",,,,,,"Administrative Services, Education, Professional Services",Less than $1M,,11,,,2012-10-02,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
